RAW Data export file (tab separated)


Client:	,SA95
Session:	SA95BP-6.75to4.25 
Date:	01-07-2018
Time:	14:33:24
Duration:	985	Seconds.
Output rate:	256	Samples/sec.

256 SPS	32 SPS	
Sensor-B:ECG/EKG	Sensor-G:RSP	


16560.283	667.849
16565.959	667.849
16568.629	667.849
16563.350	667.849
16560.592	667.849
16565.527	667.849
16567.535	667.720
16572.613	667.720
16572.568	667.720
16570.938	667.720
16571.033	667.720
16576.490	667.720
16580.572	667.720
16587.537	667.720
16587.004	667.596
16583.799	667.596
16589.789	667.596
16597.498	667.596
16601.385	667.596
16601.754	667.596
16601.480	667.596
16601.732	667.596
16605.832	667.546
16612.959	667.546
16613.480	667.546
16607.744	667.546
16604.584	667.546
16601.787	667.546
16600.043	667.546
16597.936	667.546
16593.451	667.488
16594.311	667.488
16596.896	667.488
16595.049	667.488
16589.246	667.488
16589.143	667.488
16590.607	667.488
16585.953	667.488
16581.459	667.432
16581.293	667.432
16581.506	667.432
16575.680	667.432
16566.490	667.432
16564.506	667.432
16563.547	667.432
16561.031	667.432
16559.379	667.395
16560.785	667.395
16557.430	667.395
16554.143	667.395
16545.561	667.395
16542.891	667.395
16538.408	667.395
16542.965	667.395
16543.668	667.299
16541.941	667.299
16534.754	667.299
16533.920	667.299
16529.672	667.299
16526.816	667.299
16529.811	667.299
16532.906	667.299
16531.611	667.229
16530.834	667.229
16529.586	667.229
16526.068	667.229
16524.625	667.229
16527.781	667.229
16523.762	667.229
16521.090	667.229
16526.287	667.134
16530.311	667.134
16530.809	667.134
16529.672	667.134
16532.623	667.134
16532.646	667.134
16529.254	667.134
16526.854	667.134
16531.363	666.999
16539.475	666.999
16544.070	666.999
16535.623	666.999
16533.088	666.999
16569.805	666.999
16610.385	666.999
16629.779	666.999
16630.730	666.859
16622.592	666.859
16621.031	666.859
16616.889	666.859
16623.184	666.859
16648.645	666.859
16659.945	666.859
16634.318	666.859
16617.717	666.778
16605.861	666.778
16615.447	666.778
16612.580	666.778
16604.424	666.778
16563.361	666.778
16527.117	666.778
16503.574	666.778
16507.373	666.695
16525.154	666.695
16535.625	666.695
16538.957	666.695
16537.600	666.695
16534.299	666.695
16536.188	666.695
16539.459	666.695
16542.314	666.619
16545.973	666.619
16552.977	666.619
16553.047	666.619
16541.883	666.619
16535.148	666.619
16561.102	666.619
16680.289	666.619
16966.510	666.527
17396.961	666.527
17775.332	666.527
18022.297	666.527
18262.605	666.527
18494.213	666.527
18551.254	666.527
18493.164	666.527
18014.645	666.414
17359.930	666.414
16666.992	666.414
16440.861	666.414
16407.059	666.414
16487.641	666.414
16613.572	666.414
16627.852	666.414
16622.732	666.257
16618.195	666.257
16614.717	666.257
16614.900	666.257
16610.049	666.257
16603.881	666.257
16600.596	666.257
16601.955	666.257
16609.961	666.118
16609.418	666.118
16609.064	666.118
16608.240	666.118
16608.512	666.118
16612.971	666.118
16618.295	666.118
16614.914	666.118
16606.680	666.010
16601.773	666.010
16610.100	666.010
16625.697	666.010
16632.789	666.010
16625.506	666.010
16619.225	666.010
16621.447	666.010
16625.176	665.889
16634.318	665.889
16644.949	665.889
16645.096	665.889
16638.697	665.889
16642.623	665.889
16659.879	665.889
16674.113	665.889
16677.773	665.732
16686.498	665.732
16692.852	665.732
16698.182	665.732
16702.607	665.732
16722.361	665.732
16729.668	665.732
16753.229	665.732
16764.725	665.566
16775.676	665.566
16786.301	665.566
16819.824	665.566
16827.842	665.566
16847.840	665.566
16859.785	665.566
16877.662	665.566
16887.494	665.368
16907.180	665.368
16911.244	665.368
16911.912	665.368
16923.428	665.368
16936.506	665.368
16945.037	665.368
16944.076	665.368
16929.123	665.120
16906.688	665.120
16884.047	665.120
16865.371	665.120
16845.502	665.120
16822.695	665.120
16795.777	665.120
16767.785	665.120
16739.111	664.905
16720.670	664.905
16714.186	664.905
16706.002	664.905
16695.104	664.905
16685.070	664.905
16677.650	664.905
16665.217	664.905
16657.857	664.735
16660.752	664.735
16664.693	664.735
16662.887	664.735
16658.697	664.735
16656.797	664.735
16652.541	664.735
16652.861	664.735
16657.697	664.569
16660.814	664.569
16663.703	664.569
16665.068	664.569
16663.061	664.569
16660.229	664.569
16655.396	664.569
16667.348	664.569
16681.990	664.490
16684.688	664.490
16682.734	664.490
16682.080	664.490
16678.396	664.490
16678.678	664.490
16684.617	664.490
16694.303	664.490
16697.271	664.408
16700.568	664.408
16698.352	664.408
16691.303	664.408
16695.938	664.408
16703.332	664.408
16702.303	664.408
16697.045	664.408
16693.734	664.323
16685.861	664.323
16682.740	664.323
16689.205	664.323
16688.350	664.323
16680.582	664.323
16682.984	664.323
16685.178	664.323
16670.490	664.236
16659.738	664.236
16662.699	664.236
16665.096	664.236
16665.488	664.236
16662.082	664.236
16652.145	664.236
16647.596	664.236
16647.932	664.142
16648.463	664.142
16647.926	664.142
16642.947	664.142
16636.119	664.142
16633.879	664.142
16634.221	664.142
16630.908	664.142
16627.242	664.079
16627.541	664.079
